species,common_name,functional_group,trophic_group,feeding_mode,primary_food,mobility,body_size,body_form
Spirobranchus,Christmas Tree Worms,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Tubicolous / Colonial
Spirobranchus lamarcki,Lamarck's Christmas Tree Worm,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Tubicolous / Colonial
Spirobranchus triqueter,Keeled Tubeworm,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Tubicolous / Colonial
Spirorbinae,Spiral Tube Worms,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Tubicolous / Colonial
Spirorbis,Spiral Fanworms,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Tubicolous / Colonial
Spirorbis spirorbis,Coil Worm,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Tubicolous / Colonial
Spisula,Trough Shells,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Spisula solida,Thick Trough Shell,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Spongonema tomentosum,Brown Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Filamentous
Stauromedusae,Stalked Jellyfish,MPS,Carnivore,Predation,Invertebrates,Sessile,Small,Radial
Staurozoa,Stalked Jellies,MPS,Carnivore,Predation,Invertebrates,Sessile,Small,Radial
Stelligeridae,Demosponges,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Vermiform segmented
Steromphala,Sea Snails,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Conical
Steromphala,Top Shells,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Conical
Steromphala cineraria,Grey Topshell,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Conical
Steromphala umbilicalis,Purple Topshell,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Conical
Sthenelais boa,Scale Worm,MPS,Carnivore,Predation,Invertebrates,Mobile,Medium,Vermiform segmented
Stilophora tenella,Brown Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Styela clava,Stalked Sea Squirt,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Tubicolous / Colonial
Styelidae,Sea Squirts,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Tubicolous / Colonial
Stylochus,Polyclad Flatworms,MPS,Carnivore,Predation,Bivalves / Gastropods,Mobile,Small,Lanceolate
Suberites,Sea Orange,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Massive
Sycon ciliatum,Small Calcareous Cup,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Cylindrical
Syllidae,Necklace Worms,MPS,Omnivore,Predation / Grazing,Sponges / Hydroids / Algae,Mobile,Small,Vermiform segmented
Symphodus melops,Corkwing Wrasse,MPS,Carnivore,Predation,Molluscs / Bryozoans,Mobile,Large,Pisciform
Syngnathidae,"Pipefishes, Seahorses, and Seadragons",MPS,Carnivore,Predation,Crustaceans,Mobile,Medium,Pisciform
Syngnathiformes,Pipefishes and Allies,MPS,Carnivore,Predation,Crustaceans,Mobile,Medium,Pisciform
Synoicum,Sea Squirts,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Tubicolous / Colonial
Talitridae,Sandhoppers and Landhoppers,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Articulate
Talochlamys pusio,Humpback Scallop,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Tapetinae,Venus Clams ,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Taurulus,Long Spined Bullhead,MPS,Carnivore,Predation,Small fish / Crustaceans,Mobile,Large,Pisciform
Taurulus bubalis,Longspined Bullhead,MPS,Carnivore,Predation,Small fish / Crustaceans,Mobile,Large,Pisciform
Tectipleura,Tectiplueran Sea Slugs,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Vermiform unsegmented
Tectura virginea,White Tortoiseshell Limpet,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Conical
Tedania ignis,Fire Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Spherical / Tuberculate
Tellinoidea,"Tellins, Sunset Clams, and Allies",MPS,Carnivore,Predation,Hydroids,Mobile,Small,Lanceolate
Tenellia aurantia,Orange-tip Sea Slug,MPS,Carnivore,Predation,Hydroids,Mobile,Small,Lanceolate
Tenellia cuanensis,Tenellia Sea Slug,MPS,Carnivore,Predation,Hydroids,Mobile,Small,Lanceolate
Terebellida,Bristle Worms,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Medium,Vermiform segmented
Terebellidae,Spaghetti Worms,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Medium,Vermiform segmented
Terpios gelatinosus,Blue Encrusting Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Crustose hard
Testudinalia testudinalis,Tortoiseshell Limpet,MG,Herbivore,Grazing,Coralline algae,Mobile,Small,Conical
Tethya,Puffball Sponges,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Massive
Tethya aurantium,Golf Ball Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Massive
